	sample	Bin	Dataset	Complete	Single	Duplicated	Fragmented	Missing	n_markers	Scaffold N50	Contigs N50	Percent gaps	Number of scaffolds	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Additional_Notes	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	"other_related_references(genome_id,species_name,radius,ANI,AF)"	msa_percent	translation_table	red_value	warnings	n_genes_called	n_genes_mapped	n_contigs	taxonomic_level	proportion_genes_retained_in_major_clades	genes_retained_index	clade_separation_score	contamination_portion	n_effective_surplus_clades	mean_hit_identity	reference_representation_score	pass.GUNC	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	N90	auN	L50	L90	# N's per 100 kbp
10	DATMA	round_2_b30_clameBin_4_contigs	bacteria_odb10	0	0	0	0	100	124	1642	1642	0.00%	35	2.71	0	Neural Network (Specific Model)	11	0.812	1642	167	40643	0.38	66	None	Unclassified																		No bacterial or archaeal marker	66	54	35	phylum	1	0.82	1	0.48	1	0.92	0.76	FALSE	35	8	1	0	0	0	40643	24069	6536	0	0	0	35	6536	40643	37.91	1642	549	2807.2	5	25	0
11	DATMA	round_2_b30_clameBin_5_contigs	bacteria_odb10	0.8	0.8	0	3.2	96	124	1310	1310	0.00%	206	7.51	0.05	Neural Network (Specific Model)	11	0.867	1310	165.2	191153	0.68	335	None	Unclassified Bacteria																		Insufficient number of amino acids in MSA (1.5%)	347	341	203	class	1	0.98	1	0.07	0.16	0.98	0.97	FALSE	206	67	0	0	0	0	191153	119165	0	0	0	0	206	4278	191153	67.92	1310	440	1562.9	47	148	0
12	MetaWRAP	bin_2	bacteria_odb10	50.8	47.6	3.2	10.5	38.7	124	7184	7184	0.00%	310	79.05	3.63	Neural Network (Specific Model)	11	0.896	7184	264.76780185758514	1715656	0.35	1938	None	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus agalactiae	GCF_000186445.1	95	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus agalactiae	98.92	0.855							ani_screen	classification based on ANI only						1954	1932	310	order	1	0.98	1	0.04	0.08	0.99	0.97	FALSE	310	310	116	38	2	0	1715656	1715656	1117206	559636	55589	0	310	28821	1715656	35.14	7184	2751	8919.7	74	229	0
13	MetaWRAP	bin_3	bacteria_odb10	91.9	91.1	0.8	0	8.1	124	109682	109682	0.00%	57	95.52	0.11	Neural Network (Specific Model)	11	0.892	109682	311.05953259532595	4245586	0.69	4065	None	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Cereibacter_A;s__Cereibacter_A sphaeroides	GCF_000012905.2	95	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Cereibacter_A;s__Cereibacter_A sphaeroides	98.24	0.912							ani_screen	classification based on ANI only	"GCF_900207575.1, s__Cereibacter_A ovatus, 95.0, 82.52, 0.262; GCF_003034985.1, s__Cereibacter changlensis, 95.0, 81.73, 0.208; GCF_002407205.1, s__Cereibacter_A sp002407205, 95.0, 84.84, 0.394; GCF_001720585.1, s__Cereibacter_A johrii, 95.0, 94.88, 0.865; GCF_003050905.1, s__Cereibacter_A azotoformans, 95.0, 87.12, 0.506"					4101	4016	57	order	0.99	0.97	0.47	0.02	0.05	0.95	0.92	FALSE	57	57	54	50	42	32	4245586	4245586	4233665	4200729	4077965	3707967	57	336040	4245586	69.26	109682	45060	141981.8	12	35	0
14	MetaWRAP	bin_4	bacteria_odb10	77.4	76.6	0.8	14.5	8.1	124	6351	6351	0.00%	1067	90.16	3.46	Neural Network (Specific Model)	11	0.898	6351	277.03541172483904	5455399	0.67	5902	None	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas paraeruginosa	GCF_002601815.1	95	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas paraeruginosa	99.97	0.998							ani_screen	classification based on ANI only	"GCF_026072635.1, s__Pseudomonas_F solani, 95.0, 84.47, 0.174; GCF_016919445.1, s__Pseudomonas sp016919445, 95.0, 85.31, 0.2; GCF_014852585.1, s__Pseudomonas sp014852585, 95.0, 85.42, 0.195; GCF_005877905.1, s__Pseudomonas nicosulfuronedens, 95.0, 85.0, 0.205; GCF_021603645.1, s__Pseudomonas pseudonitroreducens, 95.0, 85.35, 0.209; GCF_000349845.1, s__Pseudomonas sp000349845, 95.0, 85.63, 0.221; GCF_030462585.1, s__Pseudomonas sp030462585, 95.0, 85.56, 0.232; GCF_025133575.1, s__Pseudomonas nitroreducens_B, 95.0, 85.42, 0.216; GCF_026686735.1, s__Pseudomonas sp024259745, 95.0, 84.69, 0.185; GCF_014204515.1, s__Pseudomonas nitritireducens_A, 95.0, 85.64, 0.225; GCF_000689415.1, s__Pseudomonas knackmussii, 95.0, 85.67, 0.22; GCF_018398425.1, s__Pseudomonas_E lalucatii, 95.0, 84.2, 0.159; GCF_002091755.1, s__Pseudomonas nitroreducens, 95.0, 85.34, 0.205; GCF_000364625.1, s__Pseudomonas_E thermotolerans, 95.0, 83.69, 0.17; GCF_900111835.1, s__Pseudomonas_F otitidis, 95.0, 84.52, 0.166; GCF_003205495.1, s__Pseudomonas_E alcaligenes_B, 95.0, 84.53, 0.171; GCF_012971725.1, s__Pseudomonas multiresinivorans, 95.0, 85.33, 0.209; GCF_902506505.1, s__Pseudomonas_E sp902506505, 95.0, 84.3, 0.165; GCF_001457615.1, s__Pseudomonas aeruginosa, 95.0, 93.54, 0.823; GCF_017491605.1, s__Pseudomonas sp017491605, 95.0, 85.68, 0.213; GCF_900099785.1, s__Pseudomonas panipatensis, 95.0, 85.66, 0.206; GCF_000412695.1, s__Pseudomonas_F resinovorans_A, 95.0, 84.24, 0.156; GCF_900103845.1, s__Pseudomonas jinjuensis, 95.0, 86.2, 0.23; GCF_029203285.1, s__Pseudomonas sp029203285, 95.0, 85.48, 0.216; GCF_900105885.1, s__Pseudomonas_K guangdongensis, 95.0, 84.13, 0.153; GCF_000313755.1, s__Pseudomonas nitroreducens_A, 95.0, 85.17, 0.204; GCF_009189165.1, s__Pseudomonas sp009189165, 95.0, 85.14, 0.205; GCF_012767755.2, s__Pseudomonas_F tohonis, 95.0, 84.73, 0.176; GCF_024170165.1, s__Pseudomonas nitroreducens_C, 95.0, 85.65, 0.221; GCF_008807415.1, s__Pseudomonas sp002079985, 95.0, 85.64, 0.225; GCF_002796985.1, s__Pseudomonas sp002796985, 95.0, 85.2, 0.197; GCF_029335315.1, s__Pseudomonas citronellolis_A, 95.0, 86.26, 0.253; GCF_017589465.1, s__Pseudomonas schmalbachii, 95.0, 85.5, 0.198; GCF_009799925.1, s__Pseudomonas_E sp009799925, 95.0, 84.27, 0.168; GCF_000955805.1, s__Pseudomonas sp000955805, 95.0, 85.57, 0.224; GCF_900112375.1, s__Pseudomonas citronellolis, 95.0, 86.42, 0.259; GCF_900187975.1, s__Pseudomonas delhiensis, 95.0, 86.34, 0.263"					5944	5844	1067	order	0.99	0.97	0.67	0.02	0.05	0.93	0.9	FALSE	1067	1067	416	98	0	0	5455399	5455399	3496552	1305851	0	0	1067	23075	5455399	67.2	6351	2627	7430.5	279	801	0
15	MetaWRAP	bin_8	bacteria_odb10	67.7	66.9	0.8	5.6	26.7	124	6396	6396	0.00%	1084	90.21	3.38	Neural Network (Specific Model)	11	0.812	6396	262.3925925925926	5488356	0.3	5670	None	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium beijerinckii	GCF_018223745.1	95	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium beijerinckii	97.35	0.768							ani_screen	classification based on ANI only	"GCF_002029255.1, s__Clostridium chromiireducens, 95.0, 84.74, 0.152; GCF_000621745.1, s__Clostridium beijerinckii_A, 95.0, 92.8, 0.636; GCF_013296325.1, s__Clostridium beijerinckii_E, 95.0, 94.96, 0.683"					5765	5575	1084	family	0.95	0.92	1	0.04	0.09	0.94	0.86	FALSE	1084	1084	366	103	9	0	5488356	5488356	3393788	1620308	272229	0	1084	43290	5488356	29.53	6396	2459	8746.2	251	804	0
16	MetaWRAP	bin_unbinned	bacteria_odb10	42.8	19.4	23.4	11.3	45.9	124	3104	3104	0.00%	954	41.1	9.8	Neural Network (Specific Model)	11	0.832	3104	227.3356070941337	2392103	0.45	2932	None	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__;g__;s__											d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__;g__;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree		16.03	11	0.76726	Genome has more than 20.0% of markers with multiple hits	2883	2669	941	genus	0.84	0.78	0.99	0.74	4.53	0.93	0.72	FALSE	954	954	75	35	6	1	2392103	2392103	958777	670888	241956	65338	954	65338	2392103	44.68	3104	1177	9461.4	136	735	0
17	SnakeMAGs	bin_4	bacteria_odb10	90.3	90.3	0	6.5	3.2	124	5432	5432	0.00%	1218	91.24	2.72	Neural Network (Specific Model)	11	0.812	5432	255.5358391608392	5391076	0.3	5720	None	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium beijerinckii	GCF_018223745.1	95	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium beijerinckii	97.36	0.758							ani_screen	classification based on ANI only	"GCF_000621745.1, s__Clostridium beijerinckii_A, 95.0, 92.91, 0.63; GCF_013296325.1, s__Clostridium beijerinckii_E, 95.0, 95.08, 0.674"					5808	5621	1216	family	0.95	0.92	1	0.06	0.13	0.94	0.87	FALSE	1218	1218	334	82	5	0	5391076	5391076	2931946	1224782	149838	0	1218	43092	5391076	29.53	5432	2188	7435.8	289	921	0
18	SnakeMAGs	bin_9	bacteria_odb10	58.1	57.3	0.8	16.1	25.8	124	4997	4997	0.00%	1230	83.85	2.31	Neural Network (Specific Model)	11	0.897	4997	269.06003132068906	5164969	0.67	5747	None	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas paraeruginosa	GCF_002601815.1	95	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas paraeruginosa	99.97	0.998							ani_screen	classification based on ANI only	"GCF_002091755.1, s__Pseudomonas nitroreducens, 95.0, 86.04, 0.194; GCF_012767755.2, s__Pseudomonas_F tohonis, 95.0, 85.48, 0.167; GCF_005877905.1, s__Pseudomonas nicosulfuronedens, 95.0, 85.78, 0.193; GCF_000689415.1, s__Pseudomonas knackmussii, 95.0, 86.14, 0.207; GCF_000955805.1, s__Pseudomonas sp000955805, 95.0, 86.25, 0.208; GCF_000313755.1, s__Pseudomonas nitroreducens_A, 95.0, 85.99, 0.194; GCF_900112375.1, s__Pseudomonas citronellolis, 95.0, 86.99, 0.251; GCF_029203285.1, s__Pseudomonas sp029203285, 95.0, 86.23, 0.206; GCF_014204515.1, s__Pseudomonas nitritireducens_A, 95.0, 86.3, 0.21; GCF_016919445.1, s__Pseudomonas sp016919445, 95.0, 86.15, 0.188; GCF_900111835.1, s__Pseudomonas_F otitidis, 95.0, 85.33, 0.159; GCF_026686735.1, s__Pseudomonas sp024259745, 95.0, 85.39, 0.172; GCF_029335315.1, s__Pseudomonas citronellolis_A, 95.0, 86.9, 0.238; GCF_002796985.1, s__Pseudomonas sp002796985, 95.0, 85.89, 0.187; GCF_003205495.1, s__Pseudomonas_E alcaligenes_B, 95.0, 85.21, 0.156; GCF_026072635.1, s__Pseudomonas_F solani, 95.0, 85.29, 0.164; GCF_017589465.1, s__Pseudomonas schmalbachii, 95.0, 86.23, 0.188; GCF_017491605.1, s__Pseudomonas sp017491605, 95.0, 86.42, 0.198; GCF_024170165.1, s__Pseudomonas nitroreducens_C, 95.0, 86.35, 0.207; GCF_001457615.1, s__Pseudomonas aeruginosa, 95.0, 93.68, 0.814; GCF_900103845.1, s__Pseudomonas jinjuensis, 95.0, 86.85, 0.214; GCF_900187975.1, s__Pseudomonas delhiensis, 95.0, 87.03, 0.252; GCF_000364625.1, s__Pseudomonas_E thermotolerans, 95.0, 84.77, 0.152; GCF_900099785.1, s__Pseudomonas panipatensis, 95.0, 86.37, 0.191; GCF_014852585.1, s__Pseudomonas sp014852585, 95.0, 86.02, 0.182; GCF_008807415.1, s__Pseudomonas sp002079985, 95.0, 86.23, 0.209; GCF_009189165.1, s__Pseudomonas sp009189165, 95.0, 85.89, 0.193; GCF_012971725.1, s__Pseudomonas multiresinivorans, 95.0, 86.07, 0.198; GCF_025133575.1, s__Pseudomonas nitroreducens_B, 95.0, 86.17, 0.204; GCF_021603645.1, s__Pseudomonas pseudonitroreducens, 95.0, 86.29, 0.196; GCF_009799925.1, s__Pseudomonas_E sp009799925, 95.0, 85.19, 0.154; GCF_030462585.1, s__Pseudomonas sp030462585, 95.0, 86.24, 0.214; GCF_000349845.1, s__Pseudomonas sp000349845, 95.0, 86.46, 0.209"					5789	5691	1230	order	0.99	0.97	0.71	0.03	0.05	0.93	0.91	FALSE	1230	1230	348	47	0	0	5164969	5164969	2581069	597365	0	0	1230	17761	5164969	67.25	4997	2250	5761.1	349	954	0
19	nf_core_mag_hybrid	SPAdesHybrid-MetaBAT2-mock_7	bacteria_odb10	99.2	99.2	0	0	0.8	124	150828	118931	0.01%	113	100	0.97	Neural Network (Specific Model)	11	0.808	150828	300.2361316568048	6023307	0.3	5408	None	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium beijerinckii	GCF_018223745.1	95	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium beijerinckii	97.28	0.818							ani_screen	classification based on ANI only	"GCF_002029255.1, s__Clostridium chromiireducens, 95.0, 82.76, 0.196; GCF_000621745.1, s__Clostridium beijerinckii_A, 95.0, 92.52, 0.689; GCF_013296325.1, s__Clostridium beijerinckii_E, 95.0, 94.82, 0.723"					5548	5354	113	class	0.99	0.96	0.75	0.03	0.07	0.93	0.89	FALSE	113	113	92	77	51	35	6023307	6023307	5956032	5852392	5454255	4873064	113	455277	6023307	29.75	150828	25569	180046.5	12	50	5.98
20	nf_core_mag_short	MEGAHIT-MetaBAT2-SRR8359173_1	bacteria_odb10	67.7	65.3	2.4	6.5	25.8	124	6410	6410	0.00%	1116	89.55	4.73	Neural Network (Specific Model)	11	0.811	6410	260.18498888698923	5619491	0.3	5849	None	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium beijerinckii	GCF_018223745.1	95	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium beijerinckii	97.35	0.755							ani_screen	classification based on ANI only	"GCF_002029255.1, s__Clostridium chromiireducens, 95.0, 84.94, 0.153; GCF_000621745.1, s__Clostridium beijerinckii_A, 95.0, 92.8, 0.626; GCF_013296325.1, s__Clostridium beijerinckii_E, 95.0, 94.96, 0.671"					5962	5764	1116	family	0.97	0.94	1	0.09	0.19	0.94	0.88	FALSE	1116	1116	377	105	9	0	5619491	5619491	3481125	1633663	277262	0	1116	43290	5619491	29.56	6410	2439	8710.2	258	826	0
